Company,Year,Total Liabilities Growth %,Borrowings Growth %,Equity Growth %,Total Assets Growth %,Operating Profit Growth %,Net Profit Growth %,Operating Cash Flow Growth %
adani-ports,2004,,,,,,,
adani-ports,2005,50.66,135.86,13.65,38.73,202.83,2157.3,-32.46
adani-ports,2006,43.68,59.13,12.47,29.61,29.52,8.71,-1.0
adani-ports,2007,33.96,34.04,24.69,31.27,48.23,178.76,123.28
adani-ports,2008,35.4,48.7,250.04,87.96,87.11,13.86,15.81
adani-ports,2009,13.92,21.31,12.74,13.38,43.54,116.06,33.89
adani-ports,2010,28.22,36.5,18.44,23.78,26.26,52.03,48.91
adani-ports,2011,-7.38,-49.38,23.1,5.85,39.86,40.68,21.65
adani-ports,2012,88.73,221.49,21.6,54.85,30.48,19.38,2.25
adani-ports,2013,45.21,51.81,28.39,38.54,47.96,49.01,6.4
adani-ports,2014,0.15,5.99,39.26,14.51,7.36,14.94,16.92
adani-ports,2015,26.24,18.6,20.0,23.45,-7.25,8.28,24.76
adani-ports,2016,20.26,36.48,21.09,20.62,31.58,35.79,-14.27
adani-ports,2017,26.96,44.04,23.72,26.08,15.02,4.59,35.0
adani-ports,2018,0.72,0.98,8.5,4.04,14.72,-22.33,4.27
adani-ports,2019,19.48,24.29,12.17,16.14,-25.45,9.54,33.31
adani-ports,2020,18.7,10.55,-3.08,9.25,-67.89,-26.67,-1.38
adani-ports,2021,15.07,21.82,9.82,13.02,237.28,-0.33,-4.04
adani-ports,2022,30.89,36.45,22.03,27.51,-79.93,-84.57,-0.98
adani-ports,2023,6.1,6.05,8.03,6.77,-310.96,-261.12,-9.89
adani-ports,2024,4.65,5.15,2.31,3.8,-399.72,-462.59,37.92
adani-ports,2025,4.9,3.55,3.73,4.48,25.84,41.35,46.16
adani-ports,2026,-7.75,-6.98,103.28,31.33,-1.29,-27.04,9.18
allcargo,2004,,,,,,,
allcargo,2005,3.34,-10.63,153.03,49.67,,,
allcargo,2006,11.1,-53.83,703.37,374.47,,,-209.27
allcargo,2006,23.78,391.92,-50.52,-42.28,,,0.0
allcargo,2006,-19.21,-79.67,102.12,73.26,,,-265.51
allcargo,2006,23.78,391.92,-50.52,-42.28,,,0.0
allcargo,2007,63.29,8.21,139.72,122.92,,,170.13
allcargo,2008,263.31,746.02,22.0,69.99,,,-46.27
allcargo,2009,-24.54,-47.01,69.59,27.92,,,114.17
allcargo,2010,106.99,126.21,23.75,42.07,,,-11.45
allcargo,2012,77.87,80.35,16.6,36.23,,,114.59
allcargo,2013,-0.56,-44.7,3.07,1.54,,,-12.04
allcargo,2014,-13.19,-24.86,3.47,-3.39,,,-23.52
allcargo,2015,-20.4,22.43,5.29,-4.21,,,11.45
allcargo,2016,-17.7,-66.23,6.36,-1.03,,,0.57
allcargo,2017,23.34,344.23,-1.42,4.91,,,-9.15
allcargo,2018,-11.01,-27.91,-1.9,-4.64,,,-12.05
allcargo,2019,49.14,72.17,1.83,15.1,,,-9.23
allcargo,2020,83.27,100.36,9.77,36.48,,,44.96
allcargo,2021,9.56,-37.54,9.32,9.44,,,-17.69
allcargo,2022,1.91,40.5,18.98,10.64,,,-76.16
allcargo,2023,-51.67,-73.62,-46.17,-48.65,,,761.18
allcargo,2024,42.85,166.2,19.52,29.4,,,-144.63
allcargo,2025,5.61,11.34,-10.41,-2.92,,,-175.89
allcargo,2026,1.73,-82.44,-48.16,-22.79,,,161.12
allcargo (1),2004,,,,,,,
allcargo (1),2005,,,,,,,
allcargo (1),2006,,,,,,,-209.27
allcargo (1),2006,,,,,,,-265.51
allcargo (1),2007,,,,,,,170.13
allcargo (1),2008,,,,,,,-46.27
allcargo (1),2009,,,,,,,114.17
allcargo (1),2010,,,,,,,-11.45
allcargo (1),2012,,,,,,,114.59
allcargo (1),2013,,,,,,,-12.04
allcargo (1),2014,,,,,,,-23.52
allcargo (1),2015,,,,,,,11.45
allcargo (1),2016,,,,,,,0.57
allcargo (1),2017,,,,,,,-9.15
allcargo (1),2018,,,,,,,-12.05
allcargo (1),2019,,,,,,,-9.23
allcargo (1),2020,,,,,,,44.96
allcargo (1),2021,,,,,,,-17.69
allcargo (1),2022,,,,,,,-76.16
allcargo (1),2023,,,,,,,761.18
allcargo (1),2024,,,,,,,-144.63
allcargo (1),2025,,,,,,,-175.89
allcargo (1),2026,,,,,,,161.12
amber-enterpris,2013,,,,,,,
amber-enterpris,2014,5.79,-3.14,56.17,15.45,18.32,1.94,42.52
amber-enterpris,2015,19.91,21.03,12.54,18.0,42.17,33.69,28.85
amber-enterpris,2016,12.54,4.05,8.81,11.62,8.18,-19.22,105.56
amber-enterpris,2017,3.56,21.58,26.55,12.36,23.94,18.36,-17.08
amber-enterpris,2018,-25.34,-88.53,176.52,27.36,43.07,156.47,7.4
amber-enterpris,2019,80.75,286.82,10.45,39.26,8.36,49.25,-130.05
amber-enterpris,2020,29.92,74.81,10.82,20.98,9.86,27.48,-765.73
amber-enterpris,2021,13.23,4.54,41.2,25.22,-46.89,-56.28,-20.0
amber-enterpris,2022,58.92,203.8,4.49,32.61,-9.34,-6.71,-30.18
amber-enterpris,2023,33.2,29.1,3.79,22.0,48.51,1.7,30.44
amber-enterpris,2024,-8.07,0.01,3.57,-4.3,20.0,-17.09,309.35
amber-enterpris,2025,38.38,27.35,10.37,28.56,114.62,233.63,-29.75
amber-enterpris,2026,19.67,35.35,61.84,32.36,11.69,7.8,-102.52
anant-raj,2004,,,,,,,
anant-raj,2005,9.56,3.57,1.34,4.5,-55.33,-53.23,-264.39
anant-raj,2006,132.28,120.45,298.14,238.5,32.84,9582.76,-29.76
anant-raj,2007,1407.71,1501.07,1190.4,1229.93,156.18,334.37,-353.27
anant-raj,2008,-52.19,-82.46,155.85,89.13,-537.72,270.3,2337.27
anant-raj,2009,-5.43,92.72,11.93,10.55,-48.3,-19.0,-259.26
anant-raj,2010,-10.05,-15.19,6.69,6.8,-510.08,-35.17,-116.66
anant-raj,2011,395.43,799.45,5.51,26.58,943.53,-29.39,1898.84
anant-raj,2012,28.86,18.42,2.62,8.5,-29.09,-34.76,-88.26
anant-raj,2013,20.41,10.55,2.67,7.38,-11.41,-8.74,-11.26
anant-raj,2014,1.98,-21.19,2.08,2.05,-15.74,-11.41,-444.73
anant-raj,2015,-2.6,-2.17,2.91,1.27,72.4,41.55,1.3
anant-raj,2016,10.51,15.23,-0.45,2.69,-61.75,-54.06,-103.27
anant-raj,2017,17.18,31.51,2.79,7.23,30.7,4.87,1869.26
anant-raj,2018,34.16,42.56,0.39,11.77,-23.05,-28.83,13.73
anant-raj,2019,-29.49,-28.11,-40.65,-36.14,-35.85,-24.28,-467.07
anant-raj,2020,-2.76,-2.43,-0.61,-1.57,-16.49,-15.8,-99.97
anant-raj,2021,-2.09,12.2,0.96,-0.38,-14.01,-26.42,-91265.38
